YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC  nmi    ft
2007 09 22 23 00  65  3.2  4.8  0.91  8.33  6.41  85 1019.4  26.2  27.7  21.8 99.0 99.00
2007 09 23 00 00  78  3.5  4.2  0.97  8.33  6.59  78 1019.5  26.2  27.6  21.3 99.0 99.00
2007 09 23 01 00  97  2.0  2.8  0.91  9.09  6.49  96 1020.1  26.1  27.5  21.3 99.0 99.00
2007 09 23 02 00 127  2.0  2.6  0.94  8.33  6.65  83 1020.4  26.1  27.5  21.3 99.0 99.00
2007 09 23 03 00 130  1.2  2.1  0.87  8.33  6.52  92 1020.4  26.0  27.5  21.3 99.0 99.00
2007 09 23 04 00 171  0.1  0.5  0.92  9.09  6.64  88 1020.5  25.9  27.5  21.3 99.0 99.00
2007 09 23 05 00   0  0.1  0.4  0.84  9.09  6.58 101 1020.3  25.8  27.4  21.2 99.0 99.00
2007 09 23 06 00  32  0.3  0.8  0.86  8.33  6.59  78 1020.0  25.8  27.4  21.4 99.0 99.00
2007 09 23 07 00 351  1.2  1.9  0.83  9.09  6.57  86 1019.5  25.7  27.4  21.5 99.0 99.00
2007 09 23 08 00 332  1.8  2.8  0.81  8.33  7.08  83 1019.2  25.7  27.3  21.3 99.0 99.00
2007 09 23 09 00 322  2.3  3.4  0.79  9.09  6.92  85 1018.9  25.8  27.3  21.2 99.0 99.00
2007 09 23 10 00 334  2.5  3.7  0.79  9.09  6.91  89 1019.1  25.8  27.3  20.7 99.0 99.00
2007 09 23 11 00   8  1.4  2.0  0.78  9.09  7.10  85 1019.3  25.8  27.3  21.3 99.0 99.00
2007 09 23 12 00   8  2.3  3.0  0.80  9.09  7.06  89 1019.5  26.3  27.3  21.2 99.0 99.00
2007 09 23 13 00 355  2.6  3.9  0.77  8.33  6.96  89 1020.0  26.3  27.3  21.9 99.0 99.00
2007 09 23 14 00  18  4.3  5.2  0.77  8.33  6.95  83 1020.3  26.7  27.4  21.9 99.0 99.00
2007 09 23 15 00  23  5.2  6.3  0.86  9.09  6.47  93 1020.5  26.5  27.4  22.0 99.0 99.00
2007 09 23 16 00  10  4.9  6.2  0.86  8.33  5.90  75 1020.2  27.0  27.5  21.6 99.0 99.00
2007 09 23 17 00  16  5.2  6.2  0.85 12.12  5.43 124 1019.7  26.6  27.6  21.4 99.0 99.00
2007 09 23 18 00  15  4.7  6.1  0.90  8.33  5.53  80 1018.8  26.4  27.6  20.1 99.0 99.00
2007 09 23 19 00  21  4.8  6.3  0.81  8.33  5.58  82 1018.3  26.3  27.6  20.1 99.0 99.00
2007 09 23 20 00  29  4.6  5.3  0.84  8.33  5.42  81 1017.8  26.4  27.7  20.7 99.0 99.00
2007 09 23 21 00  27  4.1  5.0  0.78  8.33  5.36  68 1017.4  26.3  27.6  21.5 99.0 99.00
2007 09 23 22 00  40  3.9  4.6  0.82  8.33  5.67  91 1017.3  26.2  27.6  21.7 99.0 99.00
2007 09 23 23 00  39  4.3  5.4  0.78  8.33  5.68  83 1017.5  26.1  27.5  21.4 99.0 99.00
2007 09 24 00 00  46  4.1  5.1  0.77  8.33  5.71  83 1017.8  26.2  27.5  19.9 99.0 99.00
2007 09 24 01 00  54  4.2  5.1  0.78  8.33  5.52  96 1018.2  26.1  27.5  20.9 99.0 99.00
2007 09 24 02 00  39  4.2  5.1  0.75  8.33  5.75  89 1018.3  26.0  27.4  20.7 99.0 99.00
2007 09 24 03 00  46  3.9  4.6  0.77  8.33  6.27  78 1018.5  26.0  27.4  20.7 99.0 99.00
2007 09 24 04 00  36  3.5  5.2  0.75 11.43  6.15 120 1018.4  25.9  27.4  20.9 99.0 99.00
2007 09 24 05 00  28  3.2  4.3  0.70 12.12  6.11 121 1018.2  25.8  27.4  20.7 99.0 99.00
2007 09 24 06 00  24  3.8  4.6  0.72  9.09  6.10  93 1018.0  25.8  27.4  20.8 99.0 99.00
2007 09 24 07 00   6  4.0  4.9  0.78  8.33  6.20  77 1017.7  25.7  27.3  20.9 99.0 99.00
2007 09 24 08 00   5  3.8  4.3  0.71  8.33  6.06  86 1017.4  25.7  27.3  21.0 99.0 99.00
2007 09 24 09 00   7  5.6  6.9  0.69  9.09  5.81  99 1017.5  25.7  27.3  21.0 99.0 99.00
2007 09 24 10 00  12  5.3  6.2  0.77 10.81  5.41 112 1017.5  25.6  27.3  21.4 99.0 99.00
2007 09 24 11 00  10  4.8  6.0  0.82  8.33  5.35  89 1017.8  25.7  27.3  21.5 99.0 99.00
2007 09 24 12 00  32  5.8  6.9  0.84 10.00  5.16  79 1018.4  26.2  27.3  21.7 99.0 99.00
2007 09 24 13 00  48  8.8 11.1  0.91  9.09  5.32  82 1019.0  25.5  27.3  22.0 99.0 99.00
2007 09 24 14 00  32  7.3  8.9  0.88 10.00  4.94  88 1019.4  26.2  27.3  21.8 99.0 99.00
2007 09 24 15 00  37  6.8  8.0  0.99  9.09  4.83  90 1019.5  26.4  27.3  21.7 99.0 99.00
2007 09 24 16 00  37  7.8  9.1  1.01  9.09  4.85  86 1019.3  26.3  27.4  21.9 99.0 99.00
2007 09 24 17 00  43  6.8  8.5  1.06  9.09  4.91  80 1018.9  26.3  27.4  22.0 99.0 99.00
2007 09 24 18 00  53  6.3  8.1  1.13  9.09  4.87  81 1018.5  26.3  27.5  22.4 99.0 99.00
2007 09 24 19 00  51  5.7  7.8  1.04  9.09  4.87  78 1018.2  26.5  27.5  21.7 99.0 99.00
2007 09 24 20 00  56  6.0  7.0  1.12  9.09  4.91  76 1017.7  26.4  27.5  22.3 99.0 99.00
2007 09 24 21 00  56  5.2  6.4  1.03  9.09  5.25  81 1017.8  26.6  27.5  22.1 99.0 99.00
2007 09 24 22 00  71  5.7  6.5  0.97  9.09  4.92  88 1017.8  26.4  27.5  21.9 99.0 99.00
2007 09 24 23 00  53  6.6  7.8  0.98  9.09  5.30  79 1018.3  26.3  27.4  21.8 99.0 99.00
