YYYY MM DD hh WD   WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2002 01 07 03   6  0.1  1.3  2.60 12.50 10.21 999 1025.7  10.6  12.6 999.0 99.0 99.00
2002 01 07 04 244  1.8  2.9  2.50 12.50 10.30 999 1025.7  11.0  12.6 999.0 99.0 99.00
2002 01 07 05 259  2.7  3.9  2.88 12.50 10.60 999 1026.3  10.2  12.6 999.0 99.0 99.00
2002 01 07 06 298  0.7  1.8  2.54 14.29 10.24 999 1026.6   9.8  12.6 999.0 99.0 99.00
2002 01 07 07 291  0.1  1.0  2.76 12.50 10.31 999 1026.7   9.7  12.6 999.0 99.0 99.00
2002 01 07 08 286  0.6  1.6  2.87 12.50 10.50 999 1026.1   9.5  12.6 999.0 99.0 99.00
2002 01 07 09 283  0.9  1.9  2.96 12.50 10.31 999 1025.8   9.5  12.6 999.0 99.0 99.00
2002 01 07 10 329  1.3  2.0  2.93 12.50  9.86 999 1025.8   9.3  12.6 999.0 99.0 99.00
2002 01 07 11 315  1.5  2.4  2.48 12.50  9.96 999 1025.6   9.1  12.6 999.0 99.0 99.00
2002 01 07 12  15  1.8  2.5  2.47 12.50  9.73 999 1025.2   9.3  12.6 999.0 99.0 99.00
2002 01 07 13  44  1.3  2.3  2.73 14.29 10.04 999 1024.2   9.4  12.6 999.0 99.0 99.00
2002 01 07 14  88  0.3  1.0  2.58 14.29  9.68 999 1024.2   9.4  12.6 999.0 99.0 99.00
2002 01 07 15 113  0.1  0.6  2.83 14.29 10.19 999 1024.3   9.5  12.5 999.0 99.0 99.00
2002 01 07 16 235  1.4  2.7  2.56 14.29  9.83 999 1025.0   9.5  12.5 999.0 99.0 99.00
2002 01 07 17 237  1.6  4.4  2.74 14.29 10.10 999 1025.5   9.8  12.5 999.0 99.0 99.00
2002 01 07 18  42  1.0  2.3  3.03 14.29 10.37 999 1026.0  10.0  12.6 999.0 99.0 99.00
2002 01 07 19 219  0.7  1.7  3.40 14.29 11.17 999 1026.2  10.2  12.6 999.0 99.0 99.00
2002 01 07 20 291  2.6  4.7  3.63 14.29 11.89 999 1026.0  10.2  12.6 999.0 99.0 99.00
2002 01 07 21 270  4.1  5.7  3.65 14.29 11.76 999 1025.1  10.2  12.6 999.0 99.0 99.00
2002 01 07 22 287  4.8  6.3  3.75 16.67 12.31 999 1024.7  10.5  12.6 999.0 99.0 99.00
2002 01 07 23 316  4.4  5.9  4.22 16.67 12.44 999 1024.4  10.6  12.6 999.0 99.0 99.00
2002 01 08 00 305  3.0  5.0  4.04 16.67 12.19 999 1024.1  10.7  12.6 999.0 99.0 99.00
2002 01 08 01 322  2.1  3.4  3.79 16.67 12.03 999 1023.7  10.6  12.6 999.0 99.0 99.00
2002 01 08 02 315  3.1  4.2  3.61 14.29 11.35 999 1023.4  11.0  12.6 999.0 99.0 99.00
2002 01 08 03 339  2.3  3.3  3.78 14.29 11.79 999 1023.8  10.9  12.6 999.0 99.0 99.00
2002 01 08 04 345  2.3  3.4  4.18 16.67 12.28 999 1023.4  11.0  12.6 999.0 99.0 99.00
2002 01 08 05 328  3.3  4.3  3.77 14.29 11.43 999 1023.2  10.9  12.6 999.0 99.0 99.00
2002 01 08 06 312  3.5  5.1  3.42 16.67 12.08 999 1023.8  11.0  12.6 999.0 99.0 99.00
2002 01 08 07 321  4.3  5.5  4.01 16.67 12.68 999 1023.2  11.3  12.6 999.0 99.0 99.00
2002 01 08 08 303  3.7  5.6  4.73 16.67 12.98 999 1022.5  11.4  12.6 999.0 99.0 99.00
2002 01 08 09 291  3.6  5.3  4.74 16.67 13.54 999 1022.0  11.4  12.6 999.0 99.0 99.00
2002 01 08 10 275  3.4  4.8  4.74 16.67 13.68 999 1021.6  11.4  12.6 999.0 99.0 99.00
2002 01 08 11 284  3.6  5.3  4.89 16.67 13.84 999 1021.0  11.4  12.6 999.0 99.0 99.00
2002 01 08 12 295  4.4  5.8  4.22 16.67 12.71 999 1020.6  11.8  12.6 999.0 99.0 99.00
2002 01 08 13 298  6.8  9.2  4.36 16.67 12.87 999 1020.3  12.5  12.6 999.0 99.0 99.00
2002 01 08 14 309  6.6  8.0  4.15 16.67 12.06 999 1019.9  12.6  12.6 999.0 99.0 99.00
2002 01 08 15 309  6.4  7.8  3.86 16.67 11.47 999 1019.7  12.8  12.6 999.0 99.0 99.00
2002 01 08 16 308  5.0  6.1  3.79 16.67 10.87 999 1019.6  12.9  12.6 999.0 99.0 99.00
2002 01 08 17 304  5.3  7.1  4.15 16.67 11.21 999 1019.5  13.4  12.6 999.0 99.0 99.00
2002 01 08 18 310  5.6  6.9  3.96 16.67 10.85 999 1019.6  14.1  12.6 999.0 99.0 99.00
2002 01 08 19 282  5.5  7.2  3.90 16.67 10.77 999 1019.6  13.9  12.6 999.0 99.0 99.00
2002 01 08 20 281  6.5  7.7  3.79 14.29 10.26 999 1018.7  13.7  12.6 999.0 99.0 99.00
