YYYY  MM DD hh mm WDIR WSPD GST  WVHT   DPD   APD MWD   PRES  ATMP  WTMP  DEWP  VIS  TIDE
#yr  mo dy hr mn degT m/s  m/s     m   sec   sec degT   hPa  degC  degC  degC   mi    ft
2009 01 07 17 50 999 99.0 99.0  5.22 12.90  8.27 278 1008.2   9.9   8.8 999.0 99.0 99.00
2009 01 07 18 50 999 99.0 99.0  4.56 11.43  7.88 281 1008.4   9.8   8.8 999.0 99.0 99.00
2009 01 07 19 50 999 99.0 99.0  4.77 10.81  7.80 265 1008.4   9.7   8.8 999.0 99.0 99.00
2009 01 07 20 50 999 99.0 99.0  4.56 12.90  8.02 269 1007.5   9.6   8.8 999.0 99.0 99.00
2009 01 07 21 50 999 99.0 99.0  4.32 12.90  7.91 277 1006.6   9.5   8.8 999.0 99.0 99.00
2009 01 07 22 50 999 99.0 99.0  3.85 13.79  7.72 273 1006.2   9.6   8.8 999.0 99.0 99.00
2009 01 07 23 50 999 99.0 99.0  3.88 12.90  7.56 266 1005.2   9.6   8.8 999.0 99.0 99.00
2009 01 08 00 50 999 99.0 99.0  3.70 12.90  7.48 266 1004.4   9.6   9.0 999.0 99.0 99.00
2009 01 08 01 50 999 99.0 99.0  3.90 12.12  7.56 279 1003.3   9.7   9.1 999.0 99.0 99.00
2009 01 08 02 50 999 99.0 99.0  3.75 13.79  7.25 266 1002.3   9.8   9.1 999.0 99.0 99.00
2009 01 08 03 50 999 99.0 99.0  3.99 12.90  7.05 264 1001.6   9.8   9.1 999.0 99.0 99.00
2009 01 08 04 50 999 99.0 99.0  4.10 12.90  6.97 268 1000.9   9.8   9.0 999.0 99.0 99.00
2009 01 08 05 50 999 99.0 99.0  4.29 12.12  7.17 275 1001.3   9.0   9.0 999.0 99.0 99.00
2009 01 08 06 50 999 99.0 99.0  4.84 10.00  7.79 238 1002.7   9.1   9.0 999.0 99.0 99.00
2009 01 08 07 50 999 99.0 99.0  4.40 12.12  7.63 266 1003.6   9.1   8.9 999.0 99.0 99.00
2009 01 08 08 50 999 99.0 99.0  4.29 11.43  7.67 271 1004.1   9.1   8.9 999.0 99.0 99.00
2009 01 08 09 50 999 99.0 99.0  4.58 12.12  7.82 268 1004.8   8.7   8.8 999.0 99.0 99.00
2009 01 08 10 50 999 99.0 99.0  5.07  9.09  8.09 189 1006.4   8.6   8.8 999.0 99.0 99.00
2009 01 08 11 50 999 99.0 99.0  4.59  9.09  7.81 200 1007.5   8.6   8.8 999.0 99.0 99.00
2009 01 08 12 50 999 99.0 99.0  4.87  9.09  8.05 200 1008.4   8.6   8.8 999.0 99.0 99.00
2009 01 08 13 50 999 99.0 99.0 99.00 99.00 99.00 999 1009.3   8.4   8.8 999.0 99.0 99.00
2009 01 08 14 50 999 99.0 99.0 99.00 99.00 99.00 999 1009.9   8.5   8.8 999.0 99.0 99.00
2009 01 08 15 50 999 99.0 99.0  4.11  9.09  7.92 224 1010.9   8.3   8.8 999.0 99.0 99.00
2009 01 08 16 50 999 99.0 99.0 99.00 99.00 99.00 999 1012.1   7.7   8.9 999.0 99.0 99.00
2009 01 08 17 50 999 99.0 99.0  3.91 10.00  7.63 235 1013.5   8.0   8.9 999.0 99.0 99.00
2009 01 08 18 50 999 99.0 99.0  3.58  9.09  7.22 201 1015.6   8.1   9.0 999.0 99.0 99.00
2009 01 08 19 50 999 99.0 99.0  3.83 11.43  7.17 259 1017.7   7.2   8.9 999.0 99.0 99.00
2009 01 08 20 50 999 99.0 99.0  3.86 12.12  7.02 268 1018.9   6.9   9.0 999.0 99.0 99.00
2009 01 08 21 50 999 99.0 99.0  4.25 10.00  7.06 253 1020.4   6.7   9.0 999.0 99.0 99.00
2009 01 08 22 50 999 99.0 99.0  4.41  9.09  7.11 275 1021.6   6.8   9.0 999.0 99.0 99.00
2009 01 08 23 50 999 99.0 99.0  4.50 10.00  7.50 272 1022.9   6.7   9.0 999.0 99.0 99.00
2009 01 09 00 50 999 99.0 99.0  4.88 10.00  7.81 285 1024.6   6.8   9.0 999.0 99.0 99.00
