YYYY MM DD hh  WD  WSPD GST  WVHT  DPD   APD  MWD  BAR    ATMP  WTMP  DEWP  VIS  TIDE
2004 01 08 09 128  7.5  9.2  1.58  8.33  5.58 259 1020.1  12.9  13.3 999.0 99.0 99.00
2004 01 08 10 119  7.2  8.5  1.58  7.14  5.71 243 1020.3  12.9  13.3 999.0 99.0 99.00
2004 01 08 11 107  8.4 10.2  1.66  8.33  5.81 271 1019.5  12.9  13.3 999.0 99.0 99.00
2004 01 08 12 120  8.4 10.3  1.82  8.33  5.71 260 1019.1  13.1  13.3 999.0 99.0 99.00
2004 01 08 13 131  8.6 10.4  1.96 12.50  6.19 287 1019.0  12.9  13.3 999.0 99.0 99.00
2004 01 08 14 147  7.7  9.4  1.83 14.29  5.94 295 1019.4  12.9  13.3 999.0 99.0 99.00
2004 01 08 15 121  7.3  8.9  1.88  8.33  6.37 252 1018.9  12.9  13.3 999.0 99.0 99.00
2004 01 08 16 119  6.5  7.7  1.97 12.50  6.47 303 1019.5  12.9  13.3 999.0 99.0 99.00
2004 01 08 17 128  8.5 10.3  1.94 12.50  6.50 293 1019.4  13.3  13.4 999.0 99.0 99.00
2004 01 08 18 144  6.6  8.6  1.98 12.50  6.53 286 1020.6  13.4  13.4 999.0 99.0 99.00
2004 01 08 19 149  7.3  8.7  2.09 12.50  7.35 284 1021.0  13.3  13.4 999.0 99.0 99.00
2004 01 08 20 141  6.5  8.0  1.85 14.29  6.60 285 1020.6  13.3  13.4 999.0 99.0 99.00
2004 01 08 21 121  6.0  7.4  1.97 12.50  6.97 283 1020.0  13.2  13.4 999.0 99.0 99.00
2004 01 08 22 114  7.0  8.5  2.01 12.50  7.10 287 1019.4  13.3  13.3 999.0 99.0 99.00
2004 01 08 23 121  6.5  8.1  1.91 14.29  6.82 266 1019.8  13.3  13.3 999.0 99.0 99.00
2004 01 09 00 122  6.9  8.4  2.07 14.29  7.24 290 1019.6  13.3  13.4 999.0 99.0 99.00
2004 01 09 01 122  7.0  8.3  1.85 12.50  7.02 294 1020.1  12.9  13.3 999.0 99.0 99.00
2004 01 09 02 123  5.9  6.9  1.95 12.50  6.97 285 1020.4  12.9  13.3 999.0 99.0 99.00
2004 01 09 03 109  7.3  9.0  2.04 12.50  7.12 281 1019.7  12.9  13.3 999.0 99.0 99.00
2004 01 09 04 107  8.4 10.3  2.00 12.50  6.97 280 1019.2  12.8  13.3 999.0 99.0 99.00
2004 01 09 05 122  7.8  9.5  2.03 12.50  6.50 288 1019.8  12.8  13.3 999.0 99.0 99.00
2004 01 09 06 120  8.7 10.2  2.09 12.50  6.75 283 1019.6  12.9  13.3 999.0 99.0 99.00
2004 01 09 07 132  7.1  8.8  1.79 11.11  5.72 293 1020.4  12.9  13.0 999.0 99.0 99.00
2004 01 09 08 123  8.9 10.8  1.92 11.11  5.94 291 1019.6  12.9  12.9 999.0 99.0 99.00
2004 01 09 09 128  7.8  9.3  1.92 12.50  6.09 259 1020.2  12.9  12.9 999.0 99.0 99.00
2004 01 09 10 128  8.6 10.4  1.77 11.11  5.80 258 1020.3  13.3  12.9 999.0 99.0 99.00
2004 01 09 11 121  8.3  9.6  1.89 11.11  5.88 264 1020.4  12.9  12.9 999.0 99.0 99.00
2004 01 09 12 124  7.8  9.4  2.11 12.50  6.21 249 1020.4  12.9  12.9 999.0 99.0 99.00
2004 01 09 13 122  8.5 10.4  2.14 12.50  6.14 265 1020.0  13.3  12.9 999.0 99.0 99.00
2004 01 09 14 117  9.3 10.9  2.11 11.11  6.11 246 1019.9  12.9  12.9 999.0 99.0 99.00
2004 01 09 15 123  8.4  9.7  2.10 12.50  5.85 259 1020.9  13.2  12.9 999.0 99.0 99.00
2004 01 09 16 122  7.2  8.6  2.18 11.11  5.96 252 1021.8  13.0  12.9 999.0 99.0 99.00
2004 01 09 17 116  7.7 10.1  2.44  7.69  6.34 232 1022.5  13.3  12.9 999.0 99.0 99.00
2004 01 09 18 114  8.8 10.3  2.52 11.11  6.57 263 1022.8  13.3  12.9 999.0 99.0 99.00
2004 01 09 19 111  9.2 11.6  2.46  8.33  6.59 235 1022.7  13.3  13.1 999.0 99.0 99.00
2004 01 09 20 118  8.9 11.4  2.60 11.11  6.67 261 1022.3  13.3  13.3 999.0 99.0 99.00
2004 01 09 21 123  8.5 10.8  2.90 11.11  6.73 266 1021.7  13.3  13.3 999.0 99.0 99.00
2004 01 09 22 133  7.1  8.4  2.89  9.09  6.91 241 1021.9  13.4  13.3 999.0 99.0 99.00
2004 01 09 23 125  6.6  7.9  2.97 11.11  7.29 255 1022.1  13.4  13.3 999.0 99.0 99.00
2004 01 10 00 116  5.8  6.9  3.04 11.11  7.67 256 1022.4  13.4  13.3 999.0 99.0 99.00
2004 01 10 01 112  4.9  6.8  2.76 10.00  7.46 239 1022.5  13.4  13.3 999.0 99.0 99.00
2004 01 10 02  99  4.3  5.8  2.72 11.11  7.98 241 1022.5  13.4  13.3 999.0 99.0 99.00
2004 01 10 03 108  3.1  4.2  2.75 11.11  7.91 243 1022.3  13.4  13.3 999.0 99.0 99.00
2004 01 10 04 105  3.4  4.4  2.72 11.11  8.16 250 1022.4  13.4  13.3 999.0 99.0 99.00
2004 01 10 05 130  3.0  3.7  2.55 11.11  7.95 245 1022.5  13.4  13.3 999.0 99.0 99.00
